"pathway","vanilla_raw_p","genept_raw_p","embedding_rank","projected_rank","vanilla_adjusted_p","vanilla_qval","genept_adjusted_p","genept_qval","vanilla_rank","genept_rank","rank_delta","l2_raw_p","l2_adjusted_p","l2_qval","l2_rank"
"REACTOME_SULFUR_AMINO_ACID_METABOLISM",0.420283707542506,0.288162930520753,22,21,1,0,1,0,113,109,-4,0.999303153456956,1,0,110
"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES",0.00196887460329715,0.0233436169134307,29,28,0.242171576205549,0.784778205325666,1,0,21,110,89,0.00059618767048381,0.0733310834695086,1.06522856619588,8
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",0.989331698428969,0.961267416710618,22,18,1,0,1,0,114,111,-3,1,1,0,111
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI",0.890501459250417,0.920433755749286,17,16,1,0,1,0,115,112,-3,0.999999999999998,1,0,112
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL",0.00196887460329715,0.0351222601892017,21,19,0.242171576205549,0.784778205325666,1,0,22,113,91,0.999978425151953,1,0,113
"REACTOME_SYNTHESIS_OF_PA",0.230392335941705,0.420283707542506,28,27,1,0,1,0,116,114,-2,0.999999993977795,1,0,114
"REACTOME_SYNTHESIS_OF_PC",3.81265104892234e-05,0.000160158462101912,22,20,0.00468956079017448,1.52606285259303,0.0196994908385352,1.30596515981639,7,5,-2,0.999905146038811,1,0,115
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",0.999905146038811,0.999990170518365,16,16,1,0,1,0,117,115,-2,1,1,0,116
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",0.94372001658599,0.49107566468588,15,15,1,0,1,0,118,116,-2,1,1,0,117
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",0.179741341532766,0.0731481276708723,47,45,1,0,1,0,119,117,-2,0.101341801629482,1,0,118
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",0.0513887607461245,0.136726085875245,52,52,1,0,1,0,120,118,-2,0.00059618767048381,0.0733310834695086,1.06522856619588,9
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",0.288162930520753,0.631270397757246,18,18,1,0,1,0,121,119,-2,1,1,0,119
"REACTOME_TP53_REGULATES_METABOLIC_GENES",0.000160158462101912,0.0233436169134307,79,78,0.0196994908385352,1.30596515981639,1,0,11,120,109,0.00946978291842922,1,0,120
"REACTOME_TRIGLYCERIDE_CATABOLISM",0.00946978291842922,0.0351222601892017,15,13,1,0,1,0,122,121,-1,0.99999999997846,1,0,121
"REACTOME_TRIGLYCERIDE_METABOLISM",0.0010996776918826,0.0351222601892017,23,21,0.13526035610156,0.932110226066041,1,0,17,122,105,0.996087934623775,1,0,122
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",0.920433755749286,0.94372001658599,15,15,1,0,1,0,123,123,0,1,1,0,123
