target_index,comparison,group_a,group_b,pathway,detection_state,n_paired_genes,control,replicate_id,seed,mapping_changed_fraction,vector_multiset_preserved,norm_max_difference,raw_p,adjusted_p,qval,score,significant
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,82.0,20261894.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,83.0,20261895.0,0.941176470588235,True,0.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,84.0,20261896.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,85.0,20261897.0,1.0,True,0.0,0.0010996776918826,0.13526035610156,0.932110226066041,2.95873458497628,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,86.0,20261898.0,1.0,True,0.0,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,87.0,20261899.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,88.0,20261900.0,1.0,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,89.0,20261901.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,90.0,20261902.0,0.941176470588235,True,0.0,0.0150822934297104,1.0,0.0,1.82153261416016,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,91.0,20261903.0,1.0,True,0.0,0.000160158462101912,0.0196994908385352,1.30596515981639,3.79545011009365,True
